scenario,source_distance_from_first_m,source_distance_from_second_m,reception_radius_m,reception_retained,crossing_angle_deg,observation,diameter_m,mec_radius_m,mec_center_x_m,mec_center_y_m,diameter_circle_covers,true_source_inside_bearing_region
14866,1330.6012833081556,784.8782999648873,1353.680816911104,True,48.408155277241256,direction,88.64930694270588,44.32465347135294,1321.550709260816,-0.6606583333253049,True,True
14867,991.7789409055345,590.199277548815,1254.3918933758007,True,73.52728230585605,direction,47.87274796069561,23.936373980347806,997.4256594124507,-0.2867295996787682,True,True
14868,502.2608247240651,662.04473835688,1142.9056407159153,True,62.27147809811244,direction,39.52282293057526,19.76141146528763,512.43014744711,0.3075804712510717,True,True
14869,1111.1686972900159,652.4901227551444,1313.923727915253,True,62.90555324952292,direction,59.88650130799463,29.943250653997314,1115.3007505609112,-0.39712055750925757,True,True
14870,396.4505639054894,717.2218104850389,1229.3944470142756,True,54.724649689514756,direction,42.779459085903646,21.389729542951823,410.45888764057077,0.35179176622671093,True,True
14871,515.7926151128758,654.0137742215253,1138.8362605772213,True,63.00669458306588,direction,39.464523778442434,19.732261889221217,514.4813434466739,0.3066911419286953,True,True
14872,390.1132395562708,721.245883002089,1300.2055708748621,True,54.39561869342698,direction,43.665721122567376,21.832860561283688,385.7101836857727,0.36252196856889896,True,True
14873,702.1558454554437,589.0308679051037,1023.1685159875269,True,78.84571945363756,direction,35.543827513523105,17.771913756761553,706.9742030752067,0.2232327379246044,True,True
14874,820.5008703144287,568.6138021432678,1004.405905138765,True,89.78774663567518,direction,34.95922078084714,17.47961039042357,819.1036769413176,-0.17552371726687,True,True
14875,1212.854084751552,694.07339689351,1379.9372015906438,True,55.53549188506147,direction,71.78260684991454,35.89130342495727,1209.6684501836833,-0.5066027421013768,True,True
14876,975.5209584411454,604.5931583459459,1259.0018625153914,True,74.40202668767174,direction,45.281426546914865,22.640713273457433,967.3614734895643,-0.2632687938125535,True,True
