variant,seed,mode,length_scale_m,source_count,completed,time_per_source_s,virtual_time_s,distance_m,measures,switches,clear_failures,fallback_attempts,stations_visited,runtime_s,mean_first_discovery_s,last_first_discovery_s,containment_violations,nearby_effective_bearings
fifth,1012300,minimum_range,900.0,12,True,467.14467507316334,5605.73610087796,20868.6805043898,230,222,0,0,21,0.10512460000245483,732.9369079166667,1887.984826,0,0
fifth,1012301,minimum_range,100.0,13,True,430.33067977713296,5594.298837102729,20706.494185513646,233,223,0,0,21,0.10702839999794378,1116.2959223846153,2749.125482,0,0
fifth,1012301,minimum_range,300.0,13,True,431.0107785646678,5603.140121340682,20750.70060670341,233,223,0,0,21,0.1081010999987484,1117.6273336153845,2753.302527,0,0
fifth,1012301,minimum_range,900.0,13,True,430.30618998554166,5593.9804698120415,20704.90234906021,233,223,0,0,21,0.1080260000017006,1119.1411515384616,2751.47504,0,0
fifth,1012400,edge_inset,100.0,16,True,520.7308830371284,8331.694128594054,30668.47064297027,351,324,13,2,18,0.27446100000088336,4115.7781254375,5590.311986,0,0
fifth,1012400,edge_inset,300.0,16,True,577.4849844222875,9239.7597507566,35508.79875378299,342,312,12,10,18,0.18151619999844115,4491.0539665,5976.939536,0,0
fifth,1012400,edge_inset,900.0,16,True,573.1125419507914,9169.800671212663,33769.003356063324,354,323,81,68,18,0.27692730000126176,4090.034278375,5546.739776,0,0
fifth,1012401,edge_inset,100.0,16,True,540.4818606116833,8647.709769786932,31588.548848934686,338,311,83,71,19,0.12971559999641613,3873.4160713124998,6215.213689,0,0
fifth,1012401,edge_inset,300.0,16,True,494.95114386109213,7919.218301777474,29311.09150888738,329,305,9,0,19,0.11668530000315513,4023.3190489374997,6466.725275,0,0
fifth,1012401,edge_inset,900.0,16,True,495.85944045788807,7933.751047326209,29273.755236631037,332,309,10,0,19,0.12185200000021723,4026.8691571875,6478.80913,0,0
eighth,1012000,mixed,100.0,13,True,473.0369409951251,6149.480232936627,23602.401164683135,229,216,1,0,21,0.3672574000011082,913.1420676153846,3279.623867,0,0
eighth,1012000,mixed,300.0,13,True,473.6224936229016,6157.0924170977205,23640.462085488594,229,216,1,0,21,0.36541890000080457,914.7525381538462,3288.547359,0,0
eighth,1012000,mixed,900.0,13,True,472.9857300302868,6148.814490393728,23599.072451968645,229,216,1,0,21,0.37318819999927655,911.3451587692308,3280.229762,0,0
eighth,1012001,mixed,100.0,14,True,414.9553723672901,5809.3752131420615,22526.876065710312,208,191,1,0,21,0.33349900000030175,861.6356814999999,3526.490168,0,0
eighth,1012001,mixed,300.0,14,True,414.80426319175837,5807.259684684617,22516.29842342309,208,191,1,0,21,0.3321765000000596,862.4675411428572,3527.163343,0,0
eighth,1012001,mixed,900.0,14,True,414.5142722298025,5803.199811217235,22525.999056086173,207,190,1,0,21,0.3283878000002005,861.6180715714286,3522.233939,0,0
